0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:28 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:28 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:28 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:28 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:29 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:37 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:38 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:38 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:38 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:38 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:38 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:39 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:39 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:39 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:39 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:40 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:40 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:40 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:40 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:40 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [31/Oct/2018:15:40:41 +0900] "GET /Practice/Exercise5_1_1.jsp HTTP/1.1" 200 577
